Timestamp,GT_t,Prediction,Latency_ms,Contamination_Ratio,Deviation_Score,Model_Prob
16042,1.0,0.0,15541,1.0,1.846078024169074,0.4709733013340237
16043,1.0,1.0,15542,1.0,1.8548875426434073,0.5259742276777248
16044,1.0,1.0,15543,1.0,1.8525211859638948,0.5209169198430242
16045,1.0,0.0,15544,1.0,1.7364584690301341,0.4664509773039262
16046,1.0,1.0,15545,1.0,1.736957679476197,0.5257922459261035
16047,1.0,1.0,15546,1.0,1.7228619164014078,0.5229341325932274
16048,1.0,1.0,15547,1.0,1.7138653428936916,0.518678576259785
16049,1.0,0.0,15548,1.0,1.7228619164014072,0.47095293137639016
16050,1.0,1.0,15549,1.0,1.7228619164014078,0.5252312828327123
16051,1.0,1.0,15550,1.0,1.7228619164014078,0.522832093852696
16052,1.0,1.0,15551,1.0,1.7553438560837384,0.5187993002656023
16053,1.0,0.0,15552,1.0,1.7593392020014063,0.4709204238789642
16054,1.0,1.0,15553,1.0,1.9481789631827882,0.5263494630642536
16055,1.0,1.0,15554,1.0,1.9542057579429848,0.523721818951626
16056,1.0,1.0,15555,1.0,1.9596008973277315,0.5177560921760658
16057,1.0,0.0,15556,1.0,1.9581340186249692,0.4710006223217564
16058,1.0,1.0,15557,1.0,2.5915699734160165,0.5265874376409624
16059,1.0,1.0,15558,1.0,2.5945571223281045,0.5273164229395656
16060,1.0,1.0,15559,1.0,2.588474245277597,0.5187872538832338
16061,1.0,0.0,15560,1.0,2.5903995083515388,0.4709569135117791
16062,1.0,1.0,15561,1.0,2.59776004533166,0.5258950394655493
16063,1.0,1.0,15562,1.0,1.7364584690301341,0.5248481644010747
16064,1.0,1.0,15563,1.0,1.888640863329501,0.5192348811369436
16065,1.0,0.0,15564,1.0,1.8925820982450732,0.4709383444379704
16066,1.0,1.0,15565,1.0,1.8925148224421138,0.5252966454745661
16067,1.0,1.0,15566,1.0,1.8934268469286613,0.52290938485651
16068,1.0,1.0,15567,1.0,2.110802542072503,0.5189090256118299
16069,1.0,0.0,15568,1.0,2.1146535919845824,0.4709236483967804
16070,1.0,1.0,15569,1.0,2.1146409753109663,0.5262620150836304
16071,1.0,1.0,15570,1.0,2.1158898188866955,0.5220808595563807
16072,1.0,1.0,15571,1.0,2.108682331428166,0.5177092706574704
16073,1.0,0.0,15572,1.0,2.0258249944887785,0.47102406527295193
16074,1.0,1.0,15573,1.0,2.0257905141634254,0.5255401741171961
16075,1.0,1.0,15574,1.0,2.026904630103482,0.5226286340854958
16076,1.0,1.0,15575,1.0,2.019869530542484,0.518106956757972
16077,1.0,0.0,15576,1.0,1.7228619164014072,0.47096795108291906
16078,1.0,1.0,15577,1.0,1.7228619164014078,0.5256327100006546
16079,1.0,1.0,15578,1.0,1.7228619164014078,0.5234337755973163
16080,1.0,1.0,15579,1.0,1.7138653428936916,0.5181570706514385
16081,1.0,0.0,15580,1.0,1.7228619164014072,0.47096167034891934
16082,1.0,1.0,15581,1.0,1.7228619164014078,0.5252149541398907
