Timestamp,GT_t,Prediction,Latency_ms,Contamination_Ratio,Deviation_Score,Model_Prob
24169,0.0,1.0,23659,0.0,51044.21742584129,0.5394216258904712
24170,0.0,1.0,23660,0.0,51044.21742584129,0.5394216258904712
24171,0.0,1.0,23661,0.0,51044.21742584129,0.5394216258904712
24172,0.0,1.0,23662,0.0,51044.21742584129,0.5394216258904712
24173,0.0,1.0,23663,0.0,51044.21742584129,0.5394216258904712
24174,0.0,1.0,23664,0.0,51044.21742584129,0.5394216258904712
24175,0.0,1.0,23665,0.0,51044.21742584129,0.5394216258904712
24176,0.0,1.0,23666,0.0,51044.21742584129,0.5394216258904712
24177,0.0,1.0,23667,0.0,51044.21742584129,0.5394216258904712
24178,0.0,1.0,23668,0.0,51044.21742584129,0.5394216258904712
24179,0.0,1.0,23669,0.0,50985.69706645982,0.5394216258904712
24180,0.0,1.0,23670,0.0,50985.69706645982,0.5394216258904712
24181,0.0,1.0,23671,0.0,50985.69706645982,0.5394216258904712
24182,0.0,1.0,23672,0.0,50985.69706645982,0.5394216258904712
24183,0.0,1.0,23673,0.0,50960.49897647928,0.5394216258904712
24184,0.0,1.0,23674,0.0,50970.499409807366,0.5394216258904712
24185,0.0,1.0,23675,0.0,50970.499409807366,0.5394216258904712
24186,0.0,1.0,23676,0.0,50970.499409807366,0.5394216258904712
24187,0.0,1.0,23677,0.0,50970.499409807366,0.5394216258904712
24188,0.0,1.0,23678,0.0,51047.069331781015,0.5394216258904712
24189,0.0,1.0,23679,0.0,51047.069331781015,0.5394216258904712
24190,0.0,1.0,23680,0.0,51047.069331781015,0.5394216258904712
24191,0.0,1.0,23681,0.0,51047.069331781015,0.5394216258904712
24192,0.0,1.0,23682,0.0,51047.069331781015,0.5394216258904712
24193,0.0,1.0,23683,0.0,51047.069331781015,0.5394216258904712
24194,0.0,1.0,23684,0.0,51047.069331781015,0.5394216258904712
24195,0.0,1.0,23685,0.0,51047.069331781015,0.5394216258904712
24196,0.0,1.0,23686,0.0,51047.069331781015,0.5394216258904712
24197,0.0,1.0,23687,0.0,51047.069331781015,0.5394216258904712
24198,0.0,1.0,23688,0.0,50966.10897566333,0.5394216258904712
24199,0.0,1.0,23689,0.0,50966.10897566333,0.5394216258904712
24200,0.0,1.0,23690,0.0,50968.11656734458,0.5394216258904712
24201,0.0,1.0,23691,0.0,50968.11656734458,0.5394216258904712
24202,0.0,1.0,23692,0.0,50968.11656734458,0.5394216258904712
24203,0.0,1.0,23693,0.0,50968.11656734458,0.5394216258904712
24204,0.0,1.0,23694,0.0,50982.15094657425,0.5394216258904712
24205,0.0,1.0,23695,0.0,50982.15094657425,0.5394216258904712
24206,0.0,1.0,23696,0.0,50982.15094657425,0.5394216258904712
24207,0.0,1.0,23697,0.0,50982.15094657425,0.5394216258904712
24208,0.0,1.0,23698,0.0,50989.52462443155,0.5394216258904712
24209,0.0,1.0,23699,0.0,50989.52462443155,0.5394216258904712
24210,0.0,1.0,23700,0.0,50989.52462443155,0.5394216258904712
24211,0.0,1.0,23701,0.0,50989.52462443155,0.5394216258904712
24212,0.0,1.0,23702,0.0,51002.170575769516,0.5394216258904712
24213,0.0,1.0,23703,0.0,51002.170575769516,0.5394216258904712
24214,0.0,1.0,23704,0.0,51002.170575769516,0.5394216258904712
24215,0.0,1.0,23705,0.0,51002.170575769516,0.5394216258904712
24216,0.0,1.0,23706,0.0,51002.170575769516,0.5394216258904712
24217,0.0,1.0,23707,0.0,51002.170575769516,0.5394216258904712
24218,0.0,1.0,23708,0.0,51002.170575769516,0.5394216258904712
24219,0.0,1.0,23709,0.0,51002.170575769516,0.5394216258904712
24220,0.0,1.0,23710,0.0,51002.170575769516,0.5394216258904712
24221,0.0,1.0,23711,0.0,51002.170575769516,0.5394216258904712
