file_name,window_idx,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,label
dados_spectre.txt,1277,0.000680,0.004506,0.187839,0.299627,0.200000,0.000630,0.004518,0.188495,0.299629,0.200000,0.000635,0.004563,0.187982,0.299629,0.400000,0.000662,0.004517,0.188298,0.299629,0.200000,0.000624,0.004510,0.187844,0.299628,0.200000,1.0
dados_spectre.txt,1278,0.000630,0.004518,0.188495,0.299629,0.200000,0.000635,0.004563,0.187982,0.299629,0.400000,0.000662,0.004517,0.188298,0.299629,0.200000,0.000624,0.004510,0.187844,0.299628,0.200000,0.000738,0.004492,0.186903,0.299629,0.200000,1.0
dados_spectre.txt,1279,0.000635,0.004563,0.187982,0.299629,0.400000,0.000662,0.004517,0.188298,0.299629,0.200000,0.000624,0.004510,0.187844,0.299628,0.200000,0.000738,0.004492,0.186903,0.299629,0.200000,0.000669,0.004560,0.187769,0.299629,0.400000,1.0
dados_spectre.txt,1280,0.000662,0.004517,0.188298,0.299629,0.200000,0.000624,0.004510,0.187844,0.299628,0.200000,0.000738,0.004492,0.186903,0.299629,0.200000,0.000669,0.004560,0.187769,0.299629,0.400000,0.000655,0.004517,0.188566,0.299627,0.200000,1.0
dados_spectre.txt,1281,0.000624,0.004510,0.187844,0.299628,0.200000,0.000738,0.004492,0.186903,0.299629,0.200000,0.000669,0.004560,0.187769,0.299629,0.400000,0.000655,0.004517,0.188566,0.299627,0.200000,0.000584,0.004522,0.188924,0.299627,0.200000,1.0
dados_spectre.txt,1282,0.000738,0.004492,0.186903,0.299629,0.200000,0.000669,0.004560,0.187769,0.299629,0.400000,0.000655,0.004517,0.188566,0.299627,0.200000,0.000584,0.004522,0.188924,0.299627,0.200000,0.000599,0.004514,0.189091,0.299630,0.200000,1.0
dados_spectre.txt,1283,0.000669,0.004560,0.187769,0.299629,0.400000,0.000655,0.004517,0.188566,0.299627,0.200000,0.000584,0.004522,0.188924,0.299627,0.200000,0.000599,0.004514,0.189091,0.299630,0.200000,0.000688,0.004555,0.187244,0.299630,0.400000,1.0
dados_spectre.txt,1284,0.000655,0.004517,0.188566,0.299627,0.200000,0.000584,0.004522,0.188924,0.299627,0.200000,0.000599,0.004514,0.189091,0.299630,0.200000,0.000688,0.004555,0.187244,0.299630,0.400000,0.000658,0.004517,0.188350,0.299628,0.200000,1.0
dados_spectre.txt,1285,0.000584,0.004522,0.188924,0.299627,0.200000,0.000599,0.004514,0.189091,0.299630,0.200000,0.000688,0.004555,0.187244,0.299630,0.400000,0.000658,0.004517,0.188350,0.299628,0.200000,0.000568,0.004523,0.189160,0.299627,0.200000,1.0
dados_spectre.txt,1286,0.000599,0.004514,0.189091,0.299630,0.200000,0.000688,0.004555,0.187244,0.299630,0.400000,0.000658,0.004517,0.188350,0.299628,0.200000,0.000568,0.004523,0.189160,0.299627,0.200000,0.000598,0.004513,0.188806,0.299628,0.200000,1.0
dados_spectre.txt,1287,0.000688,0.004555,0.187244,0.299630,0.400000,0.000658,0.004517,0.188350,0.299628,0.200000,0.000568,0.004523,0.189160,0.299627,0.200000,0.000598,0.004513,0.188806,0.299628,0.200000,0.000682,0.004552,0.187102,0.299629,0.400000,1.0
dados_spectre.txt,1288,0.000658,0.004517,0.188350,0.299628,0.200000,0.000568,0.004523,0.189160,0.299627,0.200000,0.000598,0.004513,0.188806,0.299628,0.200000,0.000682,0.004552,0.187102,0.299629,0.400000,0.000682,0.004501,0.188057,0.299627,0.200000,1.0
dados_spectre.txt,1289,0.000568,0.004523,0.189160,0.299627,0.200000,0.000598,0.004513,0.188806,0.299628,0.200000,0.000682,0.004552,0.187102,0.299629,0.400000,0.000682,0.004501,0.188057,0.299627,0.200000,0.000632,0.004512,0.189127,0.299629,0.200000,1.0
dados_spectre.txt,1290,0.000598,0.004513,0.188806,0.299628,0.200000,0.000682,0.004552,0.187102,0.299629,0.400000,0.000682,0.004501,0.188057,0.299627,0.200000,0.000632,0.004512,0.189127,0.299629,0.200000,0.000671,0.004514,0.188455,0.299627,0.200000,1.0
dados_spectre.txt,1291,0.000682,0.004552,0.187102,0.299629,0.400000,0.000682,0.004501,0.188057,0.299627,0.200000,0.000632,0.004512,0.189127,0.299629,0.200000,0.000671,0.004514,0.188455,0.299627,0.200000,0.000588,0.004544,0.188445,0.299629,0.400000,1.0
dados_spectre.txt,1292,0.000682,0.004501,0.188057,0.299627,0.200000,0.000632,0.004512,0.189127,0.299629,0.200000,0.000671,0.004514,0.188455,0.299627,0.200000,0.000588,0.004544,0.188445,0.299629,0.400000,0.000605,0.004514,0.188792,0.299626,0.200000,1.0
