CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,LABEL
0,0,119853283,30172623,584989,6849,1.0
0,0,119853602,30368308,579159,6835,1.0
0,0,119852813,30456209,578929,6837,1.0
0,0,119853421,30366986,579154,6826,1.0
0,0,119854001,30176382,585011,6846,1.0
0,0,119852839,30364951,579099,6861,1.0
0,0,119853572,30468267,578899,6819,1.0
0,0,119852854,30370314,579256,6853,1.0
0,0,119853978,30175820,584995,6841,1.0
0,0,119852901,30374458,579255,6840,1.0
0,0,119853666,30430517,579055,6843,1.0
0,0,119852830,30367994,579111,6823,1.0
0,0,119853235,30179939,585059,6850,1.0
0,0,119852697,30368389,579190,6834,1.0
0,0,119853592,30394176,579031,6852,1.0
0,0,119852615,30374905,579352,6831,1.0
0,0,119853153,30176667,585018,6853,1.0
0,0,119853480,30367542,579167,6831,1.0
0,0,119852655,30435345,579170,6856,1.0
0,0,119852902,30366359,579136,6851,1.0
0,0,119853314,30179618,585096,6832,1.0
0,0,119853444,30371466,579176,6838,1.0
0,0,119852969,30414187,578972,6844,1.0
0,0,119853637,30365467,579113,6836,1.0
0,0,119854080,30175078,585008,6844,1.0
0,0,119852671,30367576,579140,6844,1.0
0,0,119852825,30382961,579264,6842,1.0
0,0,119853361,30366240,579133,6826,1.0
0,0,119853995,30176990,584991,6841,1.0
0,0,119852997,30370755,579251,6837,1.0
0,0,119853444,30396438,579052,6835,1.0
0,0,119852782,30369234,579211,6844,1.0
0,0,119853939,30271960,582100,6842,1.0
0,0,119853041,30364846,579096,6849,1.0
0,0,119853684,30455025,578897,6852,1.0
0,0,119854181,30177963,585053,6842,1.0
0,0,119852895,30424476,579003,6840,1.0
0,0,119853368,30371336,579187,6841,1.0
0,0,119852789,30400332,579117,6819,1.0
0,0,119854135,30173972,584947,6850,1.0
0,0,119852687,30438699,579011,6836,1.0
0,0,119853565,30367526,579166,6822,1.0
0,0,119852668,30407617,579060,6846,1.0
0,0,119853241,30174845,584977,6841,1.0
0,0,119853029,30414831,578926,6840,1.0
0,0,119853439,30369728,579212,6840,1.0
0,0,119852679,30420325,579140,6850,1.0
0,0,119853181,30173891,584945,6857,1.0
0,0,119853468,30458638,579021,6842,1.0
0,0,119852775,30365745,579108,6830,1.0
0,0,119853593,30406682,579112,6827,1.0
0,0,119853233,30181375,585078,6846,1.0
0,0,119853522,30406441,579079,6836,1.0
0,0,119852838,30367094,579150,6835,1.0
0,0,119853426,30379831,579201,6826,1.0
0,0,119853895,30175710,584995,6845,1.0
0,0,119852783,30427367,578959,6846,1.0
0,0,119852856,30374238,579311,6842,1.0
0,0,119853344,30424198,578986,6834,1.0
0,0,119854105,30181009,585133,6827,1.0
0,0,119852948,30394334,579072,6847,1.0
0,0,119853432,30367017,579152,6823,1.0
0,0,119852771,30371399,579096,6841,1.0
0,0,119853329,30179569,585096,6844,1.0
0,0,119852542,30460362,578949,6848,1.0
0,0,119853524,30371229,579257,6836,1.0
0,0,119852666,30378630,579222,6821,1.0
0,0,119853208,30173201,584928,6849,1.0
0,0,119853555,30378709,579223,6843,1.0
0,0,119852633,30366377,579134,6837,1.0
0,0,119852735,30405557,579068,6827,1.0
0,0,119853323,30178754,585073,6872,1.0
0,0,119853601,30414102,579095,6839,1.0
0,0,119852910,30369555,579138,6845,1.0
0,0,119853511,30438344,579112,6830,1.0
