CPU_CYCLES, INSTRUCTIONS, CACHE_MISSES, BRANCH_MISSES, LABEL
00:03:02.939 119847140 30112900 581553 6833 1.0
00:03:03.139 119847524 30314741 575881 6825 1.0
00:03:03.339 119846687 30303032 575642 6827 1.0
00:03:03.539 119847597 31688584 572408 6798 1.0
00:03:03.939 119847930 30106570 581388 6827 1.0
00:03:04.139 119846723 30304165 575705 6826 1.0
00:03:04.339 119847633 30310352 575824 6825 1.0
00:03:04.539 119846776 31766404 572148 6791 1.0
00:03:04.939 119847877 30112683 581495 6825 1.0
00:03:05.139 119846663 30306554 575793 6827 1.0
00:03:05.339 119847570 30306834 575706 6830 1.0
00:03:05.539 119846817 31717167 572256 6784 1.0
00:03:05.939 119847122 30118043 581594 6827 1.0
00:03:06.139 119847477 30305659 575771 6836 1.0
00:03:06.339 119846699 30308355 575751 6833 1.0
00:03:06.539 119847496 31753668 572340 6787 1.0
00:03:06.939 119847047 30118143 581633 6848 1.0
00:03:07.139 119847511 30308694 575780 6809 1.0
00:03:07.339 119846719 30315304 575907 6825 1.0
00:03:07.539 119847576 31719973 572154 6798 1.0
00:03:07.939 119847903 30215527 578809 6817 1.0
00:03:08.139 119846668 30301222 575593 6814 1.0
00:03:08.339 119847472 30304140 575694 6825 1.0
00:03:08.739 119847130 30114562 581597 6832 1.0
00:03:08.939 119847458 30306046 575692 6816 1.0
00:03:09.139 119846764 30301502 575655 6813 1.0
00:03:09.339 119847506 30313391 575878 6836 1.0
00:03:09.739 119847839 30115748 581537 6824 1.0
00:03:09.939 119846637 30306533 575791 6819 1.0
00:03:10.139 119847387 30317148 575885 6832 1.0
00:03:10.339 119846658 30299318 575605 6829 1.0
00:03:10.739 119847868 30116639 581557 6833 1.0
00:03:10.939 119846745 30308350 575785 6827 1.0
00:03:11.139 119847547 30305074 575743 6812 1.0
00:03:11.339 119846671 30307769 575735 6824 1.0
00:03:11.739 119846990 30109873 581487 6841 1.0
00:03:11.939 119847577 30306634 575703 6833 1.0
00:03:12.139 119846755 30304524 575739 6842 1.0
00:03:12.339 119847514 30311812 575842 6822 1.0
00:03:12.739 119846981 30115359 581617 6838 1.0
00:03:12.939 119847542 30308548 575753 6822 1.0
00:03:13.139 119846674 30306066 575716 6823 1.0
00:03:13.339 119847447 30308591 575820 6832 1.0
00:03:13.739 119847820 30118636 581705 6832 1.0
00:03:13.939 119846820 30300732 575618 6828 1.0
00:03:14.139 119847530 30306602 575725 6825 1.0
00:03:14.339 119846805 30313128 575873 6830 1.0
00:03:14.739 119847778 30114294 581513 6825 1.0
00:03:14.939 119846621 30305357 575763 6835 1.0
00:03:15.139 119847430 30321922 576013 6837 1.0
00:03:15.339 119846723 30308882 575760 6839 1.0
00:03:15.739 119847080 30117006 581568 6831 1.0
00:03:15.939 119847550 30305549 575770 6829 1.0
00:03:16.139 119846763 30303852 575660 6845 1.0
00:03:16.339 119846669 30302852 575667 6826 1.0
00:03:16.739 119846966 30111407 581516 6817 1.0
00:03:16.939 119847545 30309169 575771 6835 1.0
00:03:17.139 119846613 30307911 575799 6832 1.0
00:03:17.339 119847422 30308507 575782 6837 1.0
00:03:17.739 119847902 30117592 581674 6839 1.0
00:03:17.939 119846695 30312164 575848 6824 1.0
00:03:18.139 119846767 30303995 575665 6825 1.0
00:03:18.339 119847455 30306260 575755 6820 1.0
00:03:18.739 119847939 30115585 581544 6832 1.0
00:03:18.939 119846680 30303780 575724 6825 1.0
00:03:19.139 119847413 30306581 575701 6821 1.0
00:03:19.339 119846788 30314754 575916 6821 1.0
00:03:19.739 119847192 30112256 581535 6840 1.0
00:03:19.939 119847525 30312659 575861 6819 1.0
00:03:20.139 119846695 30305054 575664 6829 1.0
00:03:20.339 119846657 30303509 575715 6821 1.0
00:03:20.739 119847085 30118024 581657 6839 1.0
00:03:20.939 119847369 30307066 575748 6825 1.0
00:03:21.139 119846640 30304435 575682 6820 1.0
00:03:21.339 119847547 30312409 575841 6829 1.0
00:03:21.739 119847876 30118684 581691 6836 1.0
00:03:21.939 119846742 30298847 575591 6819 1.0
00:03:22.139 119846735 30313518 575885 6843 1.0
00:03:22.339 119847449 30301695 575603 6826 1.0
00:03:22.739 119847614 30119156 581624 6853 1.0
00:03:22.939 119846681 30306253 575719 6836 1.0
00:03:23.139 119847526 30308459 575818 6830 1.0
00:03:23.339 119846760 30306251 575693 6832 1.0
00:03:23.739 119847073 30108745 581445 6836 1.0
00:03:23.939 119846715 30307251 575734 6831 1.0
00:03:24.139 119847379 30316676 575954 6830 1.0
00:03:24.339 119846655 30300629 575637 6838 1.0
00:03:24.739 119847126 30111656 581521 6826 1.0
00:03:24.939 119847412 30312257 575850 6836 1.0
00:03:25.139 119846813 30306039 575744 6837 1.0
00:03:25.339 119847369 30305192 575702 6834 1.0
00:03:25.739 119847916 30109624 581495 6826 1.0
00:03:25.939 119846764 30303579 575672 6820 1.0
00:03:26.139 119846601 30303559 575714 6821 1.0
00:03:26.339 119847442 30315707 575889 6827 1.0
00:03:26.739 119847866 30111080 581506 6825 1.0
00:03:26.939 119846820 30312477 575857 6826 1.0
00:03:27.139 119847490 30305236 575667 6836 1.0
00:03:27.339 119846656 30304531 575740 6828 1.0
00:03:27.739 119847110 30126258 581811 6830 1.0
00:03:27.939 119846659 30302563 575629 6845 1.0
00:03:28.139 119847372 30307641 575789 6829 1.0
00:03:28.339 119846783 30304937 575659 6833 1.0
00:03:28.739 119847090 30109211 581453 6828 1.0
00:03:28.939 119847477 30302661 575696 6820 1.0
00:03:29.139 119846729 30308149 575741 6843 1.0
00:03:29.339 119847523 30305173 575757 6817 1.0
00:03:29.739 119847054 30163144 579977 6836 1.0
00:03:29.939 119847588 30313006 575872 6836 1.0
00:03:30.139 119846732 30305407 575766 6819 1.0
00:03:30.339 119847570 30307950 575738 6825 1.0
00:03:30.739 119847920 30275431 576256 6810 1.0
00:03:30.939 119846694 30302445 575675 6823 1.0
00:03:31.139 119847569 30304867 575670 6827 1.0
00:03:31.539 119847886 30112278 581505 6847 1.0
00:03:31.739 119846723 31740595 572105 6782 1.0
00:03:31.939 119846722 30312888 575866 6829 1.0
00:03:32.139 119847424 30308029 575742 6814 1.0
00:03:32.539 119847772 30113974 581530 6833 1.0
00:03:32.739 119846824 31699224 572471 6793 1.0
00:03:32.939 119847587 30307555 575823 6828 1.0
00:03:33.139 119846683 30306961 575712 6824 1.0
00:03:33.539 119847111 30112991 581555 6829 1.0
00:03:33.739 119846807 31668799 572304 6799 1.0
00:03:33.939 119847536 30301824 575656 6812 1.0
