TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,LABEL
21:08:59:227,120000733,49851439,2382811,115,0
21:08:59:427,120001344,49670556,2407716,109,0
21:08:59:627,120000587,49702012,2389418,113,0
21:08:59:827,120001264,49749305,2391680,123,0
21:09:00:027,120000796,49641853,2406738,116,0
21:09:00:227,120001298,49995750,2395954,111,0
21:09:00:427,120000830,49787502,2406922,117,0
21:09:00:627,120001230,49844733,2394015,111,0
21:09:00:827,120000761,49692206,2405312,117,0
21:09:01:027,120001245,49889341,2390924,116,0
21:09:01:227,120001598,49546061,2402763,104,0
21:09:01:427,120000634,49921269,2387825,113,0
21:09:01:627,120001548,49629779,2405110,106,0
21:09:01:827,120000776,49638835,2392205,112,0
21:09:02:027,120001113,49759330,2383630,110,0
21:09:02:227,120001082,49566025,2405124,108,0
21:09:02:427,120000727,50006572,2392541,113,0
21:09:02:627,120001146,49581842,2404201,119,0
21:09:02:827,120000847,49701389,2392748,111,0
21:09:03:027,120001375,49802371,2394963,123,0
21:09:03:227,120000513,49657435,2404335,116,0
21:09:03:427,120001324,49876639,2387374,110,0
21:09:03:627,120001345,49542308,2402991,110,0
21:09:03:827,120000626,49606723,2387224,112,0
21:09:04:027,120001334,49773395,2385042,110,0
21:09:04:227,120001687,49481693,2394994,114,0
21:09:04:427,120000679,49811306,2396784,114,0
21:09:04:627,120001022,49685355,2390353,119,0
21:09:04:827,120000808,49589846,2406461,107,0
21:09:05:027,120001556,49967637,2386966,122,0
21:09:05:227,120001168,49504420,2397491,121,0
21:09:05:427,120000780,49624268,2393477,110,0
21:09:05:627,120001041,49766749,2381177,108,0
21:09:05:827,120001159,49591691,2407444,114,0
21:09:06:027,120000616,49735820,2389527,120,0
21:09:06:227,120001264,49768165,2398208,117,0
21:09:06:427,120000758,49718340,2401035,117,0
21:09:06:627,120001091,49817660,2390079,113,0
21:09:06:827,120001358,49502942,2397787,111,0
21:09:07:027,120000610,49861536,2391546,118,0
21:09:07:227,120001368,49721399,2405284,116,0
21:09:07:427,120000935,49720017,2393472,107,0
21:09:07:627,120001172,49800564,2395508,108,0
21:09:07:827,120000573,49585117,2402561,113,0
21:09:08:027,120000618,49886408,2383858,108,0
21:09:08:227,120001357,49562714,2403107,102,0
21:09:08:427,120000830,49729777,2393126,107,0
21:09:08:627,120001095,49811668,2398012,107,0
21:09:08:827,120000664,49744058,2401917,118,0
21:09:09:027,120001113,49778863,2387860,120,0
21:09:09:227,120001451,49529602,2400734,107,0
21:09:09:427,120000654,49830011,2390033,121,0
21:09:09:627,120001417,49669566,2396942,110,0
21:09:09:827,120000869,49729537,2401384,121,0
21:09:10:027,120001243,49868597,2397330,111,0
21:09:10:227,120000841,49591690,2401970,112,0
21:09:10:427,120001085,49875229,2382074,113,0
21:09:10:627,120001143,49618526,2408972,108,0
21:09:10:827,120000511,49881525,2390386,113,0
21:09:11:027,120001283,49630965,2398128,121,0
21:09:11:227,120000864,49680488,2399127,119,0
21:09:11:827,120000473,265141430,401,162,0
21:09:11:827,120000473,265141430,401,162,0
21:09:12:027,120001135,190283796,832768,146,0
21:09:12:227,120000584,49727946,2389406,112,0
21:09:12:427,120001243,49714947,2391271,116,0
21:09:12:627,120001014,49569136,2405004,111,0
21:09:12:827,120000801,49923501,2383584,107,0
21:09:13:027,120001413,49575654,2404327,107,0
21:09:13:227,120000773,49623627,2391278,109,0
21:09:13:427,120001290,49857858,2393782,111,0
21:09:13:627,120000807,49619243,2405448,107,0
21:09:13:827,120001310,49981672,2393049,118,0
21:09:14:027,120001069,49565595,2405410,107,0
21:09:14:227,120000751,49958877,2385830,115,0
21:09:14:427,120001004,49553723,2401531,109,0
21:09:14:627,120000635,49887868,2396275,118,0
21:09:14:827,120002316,49766160,2407733,115,0
21:09:15:027,120000729,49714802,2391344,104,0
21:09:15:227,120001046,49682076,2384060,119,0
